200	['2007.03', 'Pension funds', '261', 'Financial liabilities Closing balance loans', 'LE00000', 'AFL0400', '0']

201	['2007.03', 'Pension funds', '261', 'Financial liabilities Closing balance equity and investment fund shares', 'LE00000', 'AFL0500', '0']

202	['2007.03', 'Pension funds', '261', 'Financial liabilities Closing balance insurance, pension and standardised guarantee schemes', 'LE00000', 'AFL0600', '31919']

203	['2007.03', 'Pension funds', '261', 'Financial liabilities Closing balance financial derivatives and employee stock options', 'LE00000', 'AFL0700', '..']

204	['2007.03', 'Pension funds', '261', 'Financial liabilities Closing balance other accounts payable', 'LE00000', 'AFL0800', '..']

205	['2007.03', 'Pension funds', '261', 'Financial assets Closing balance produced non-financial assets', 'LE00000', 'AN10000', '67']

206	['2007.03', 'Pension funds', '261', 'Financial assets Closing balance non-produced non-financial assets', 'LE00000', 'AN20000', '39']

207	['2007.03', 'Pension funds', '261', 'Closing balance net worth', 'LE00000', 'B900000', '0']

208	['2007.03', 'Pension funds', '261', 'Closing balance total liabilities and net worth', 'LE00000', 'L000000', '31919']

209	['2007.03', 'Financial auxiliaries', '270', 'Closing balance total assets', 'LE00000', 'A000000', '5346']

210	['2007.03', 'Financial auxiliaries', '270', 'Financial assets Closing balance total financial and non-financial assets', 'LE00000', 'AFA0000', '4246']

211	['2007.03', 'Financial auxiliaries', '270', 'Financial assets Closing balance monetary gold and special drawing rights', 'LE00000', 'AFA0100', '0']

212	['2007.03', 'Financial auxiliaries', '270', 'Financial assets Closing balance currency and deposits', 'LE00000', 'AFA0200', 'C']

213	['2007.03', 'Financial auxiliaries', '270', 'Financial assets Closing balance debt securities', 'LE00000', 'AFA0300', 'C']

214	['2007.03', 'Financial auxiliaries', '270', 'Financial assets Closing balance loans', 'LE00000', 'AFA0400', 'C']

215	['2007.03', 'Financial auxiliaries', '270', 'Financial assets Closing balance equity and investment fund shares', 'LE00000', 'AFA0500', '1826']

216	['2007.03', 'Financial auxiliaries', '270', 'Financial assets Closing balance insurance, pension and standardised guarantee schemes', 'LE00000', 'AFA0600', '..']

217	['2007.03', 'Financial auxiliaries', '270', 'Financial assets Closing balance financial derivatives and employee stock options', 'LE00000', 'AFA0700', '241']

218	['2007.03', 'Financial auxiliaries', '270', 'Financial assets Closing balance other accounts receivable', 'LE00000', 'AFA0800', '501']

219	['2007.03', 'Financial auxiliaries', '270', 'Financial liabilities Closing balance total financial liabilities', 'LE00000', 'AFL0000', '5346']

220	['2007.03', 'Financial auxiliaries', '270', 'Financial liabilities Closing balance monetary gold and special drawing rights', 'LE00000', 'AFL0100', '0']
